level,gas,state_name,type,energy_eV,n_collisions
0,"Ar"," ELASTIC ANISOTROPIC       ARGON                  ","elastic",0,0
1,"Ar"," IONISATION CHARGE STATE =1      ELOSS=   15.75961","ionisation",15.7596101761,0
2,"Ar"," IONISATION CHARGE STATE =2      ELOSS=   43.38928","ionisation",43.3892784119,0
3,"Ar"," IONISATION CHARGE STATE =3      ELOSS=   84.124  ","ionisation",84.1240005493,0
4,"Ar"," IONISATION L3 SHELL             ELOSS=  248.4    ","ionisation",248.399993896,0
5,"Ar"," IONISATION L2 SHELL             ELOSS=  250.6    ","ionisation",250.600006104,0
6,"Ar"," IONISATION L1 SHELL             ELOSS=  326.3    ","ionisation",326.299987793,0
7,"Ar"," ATTACHMENT                                       ","attachment",0,0
8,"Ar"," EXC 1S5    J=2 METASTABLE         ELEVEL= 11.548 ","excitation",11.5480003357,0
9,"Ar"," EXC 1S4    J=1 RESONANT           ELEVEL= 11.624 ","excitation",11.6239995956,0
10,"Ar"," EXC 1S3    J=0 METASTABLE         ELEVEL= 11.723 ","excitation",11.7229995728,0
11,"Ar"," EXC 1S2    J=1 RESONANT           ELEVEL= 11.828 ","excitation",11.8280000687,0
12,"Ar"," EXC 2P10   J=1                    ELEVEL= 12.907 ","excitation",12.906999588,0
13,"Ar"," EXC 2P9    J=3                    ELEVEL= 13.076 ","excitation",13.0760002136,0
14,"Ar"," EXC 2P8    J=2                    ELEVEL= 13.095 ","excitation",13.095000267,0
15,"Ar"," EXC 2P7    J=1                    ELEVEL= 13.153 ","excitation",13.1529998779,0
16,"Ar"," EXC 2P6    J=2                    ELEVEL= 13.172 ","excitation",13.1719999313,0
17,"Ar"," EXC 2P5    J=0                    ELEVEL= 13.273 ","excitation",13.2729997635,0
18,"Ar"," EXC 2P4    J=1                    ELEVEL= 13.283 ","excitation",13.2829999924,0
19,"Ar"," EXC 2P3    J=2                    ELEVEL= 13.302 ","excitation",13.3020000458,0
20,"Ar"," EXC 2P2    J=1                    ELEVEL= 13.328 ","excitation",13.3280000687,0
21,"Ar"," EXC 2P1    J=0                    ELEVEL= 13.480 ","excitation",13.4799995422,0
22,"Ar"," EXC 3D6    J=0                    ELEVEL= 13.845 ","excitation",13.845000267,0
23,"Ar"," EXC 3D5    J=1 RESONANT           ELEVEL= 13.864 ","excitation",13.8640003204,0
24,"Ar"," EXC 3D3    J=2                    ELEVEL= 13.903 ","excitation",13.9029998779,0
25,"Ar"," EXC 3D4!   J=4                    ELEVEL= 13.979 ","excitation",13.9790000916,0
26,"Ar"," EXC 3D4    J=3                    ELEVEL= 14.013 ","excitation",14.0129995346,0
27,"Ar"," EXC 3D1!!  J=2                    ELEVEL= 14.063 ","excitation",14.0629997253,0
28,"Ar"," EXC 2S5    J=2                    ELEVEL= 14.068 ","excitation",14.0679998398,0
29,"Ar"," EXC 2S4    J=1 RESONANT           ELEVEL= 14.090 ","excitation",14.0900001526,0
30,"Ar"," EXC 3D1!   J=3                    ELEVEL= 14.099 ","excitation",14.0989999771,0
