name,tex_name,value,fit_uncertainty,stat_minus,stat_plus,syst_minus,syst_plus,total_minus,total_plus,fixed
Nnorm,$N_{\mathrm{norm}}$,0.01274462035493343,26970.74709232006,0.0033658066499999036,0.0029163779700410227,0.0005918256786324357,0.0006069155282640102,0.0034174423241764176,0.0029788600038586203,False
P_N2,$P_{\mathrm{N}_2}$,0.6068901725164795,1284328.6521554682,0.0071999789876123765,0.3931098273461344,0.008714237744821163,0.008105454803860379,0.011303877073611761,0.39319338086199396,False
tau_N2,$\tau_{\mathrm{N}_2}$ [ns],37.80718336483932,0.376,0.0,0.0,0.0,0.0,0.0,0.0,True
K_N2_Q_N2,$K_{\mathrm{N}_2Q(\mathrm{N}_2)}$ [ns$^{-1}$],0.20144496485013935,0.10200780165645779,0.0,0.08638472820157195,0.0001353756209954704,0.00012376209165693153,0.0001353756209954704,0.08638481685756352,False
K_N2_Q_Ar,$K_{\mathrm{N}_2Q(\mathrm{Ar})}$ [ns$^{-1}$],0.03477927899586764,0.012592544554507083,0.0060449321794066,4.132347242169487e-12,6.330807704457708e-09,4.126587960229244e-12,0.006044932179409915,5.839950506928524e-12,False
K_ArMeta_Q_N2c,$K_{\mathrm{Ar}_{1s5}Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.8234919166104352,1869435.8550903336,0.18637804672755276,0.08210240394332868,0.00596150411757268,0.00554101914478955,0.1864733649434194,0.08228917077256544,False
K_ArMeta_Q_N2b,$K_{\mathrm{Ar}_{1s5}Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.01959396030783126,1800604.131004347,3.0783125701261405e-10,0.0005988264332001184,3.078298449477046e-10,0.0,4.353381401100688e-10,0.0005988264332001184,False
K_ArMeta_Q_2Ar,$K_{\mathrm{Ar}_{1s5}Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.01585999990580036,57352.87712489339,0.0004440104634591234,9.409688653261306e-11,9.8688313479936e-07,9.417104943065802e-11,0.0004440115602093118,1.3312554452847468e-10,False
K_ArRes_Q_N2c,$K_{\mathrm{Ar}_{1s4}Q(\mathrm{N}_2(C))}$ [ns$^{-1}$],0.47289406488024016,982965.4241284145,0.16061372213188196,0.10915751193157713,0.005017848826030569,0.00469963486211411,0.160692086127159,0.1092586334297185,False
K_ArRes_Q_N2b,$K_{\mathrm{Ar}_{1s4}Q(\mathrm{N}_2(B))}$ [ns$^{-1}$],0.3673867488374211,1015714.6445054823,0.0028019390200519356,1.1625788109981272e-09,0.0,1.16257803384201e-09,0.0028019390200519356,1.64413417230887e-09,False
K_ArRes_Q_2Ar,$K_{\mathrm{Ar}_{1s4}Q(2\mathrm{Ar})}$ [ns$^{-1}$],0.00046200000000000006,43.471336000080505,0.0,0.00026022708890958133,0.0,7.67245786218243e-11,0.0,0.00026022708890959266,False
P_Ar_dbleStar,$P_{\mathrm{Ar}^{**}}$,1.0149372758008265e-11,0.13913346298010737,9.646596635510953e-12,0.04294969891873536,9.658000462148808e-12,5.986580522713314e-12,1.3650413897575334e-11,0.04294969891873536,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,0.6352507583101811,0.0,0.6349042764463435,0.3647492416898188,0.6306773104167906,0.36474924132601616,0.8949063136018272,0.5158333242057963,False
